time,x,y,z
2.83,-0.102773,-0.738178,524.979
2.84,-0.0882221,-0.737078,526.725
2.85,-0.0737073,-0.734956,528.469
2.86,-0.0592319,-0.731813,530.213
2.87,-0.0447988,-0.72765,531.956
2.88,-0.0304106,-0.722471,533.698
2.89,-0.0160703,-0.716282,535.438
2.9,-0.00178055,-0.70909,537.177
2.91,0.0124556,-0.700905,538.915
2.92,0.0266352,-0.691738,540.652
2.93,0.0407552,-0.681602,542.388
2.94,0.054812,-0.670512,544.122
2.95,0.0688023,-0.658484,545.855
2.96,0.0827221,-0.645536,547.586
2.97,0.0965674,-0.631687,549.316
2.98,0.110334,-0.61696,551.044
2.99,0.124016,-0.601377,552.771
3,0.13761,-0.584961,554.496
3.01,0.15111,-0.56774,556.219
3.02,0.164509,-0.549741,557.941
3.03,0.177801,-0.530991,559.661
3.04,0.19098,-0.51152,561.379
3.05,0.204037,-0.49136,563.096
3.06,0.216966,-0.470542,564.811
3.07,0.229758,-0.4491,566.523
3.08,0.242403,-0.427068,568.234
3.09,0.254894,-0.40448,569.944
3.1,0.267218,-0.381372,571.651
3.11,0.279367,-0.357782,573.356
3.12,0.29133,-0.333745,575.059
3.13,0.303094,-0.3093,576.761
3.14,0.314647,-0.284486,578.46
3.15,0.325979,-0.25934,580.158
3.16,0.337074,-0.233902,581.853
3.17,0.347921,-0.208212,583.547
3.18,0.358504,-0.182307,585.238
3.19,0.368811,-0.156229,586.927
3.2,0.378826,-0.130016,588.615
3.21,0.388534,-0.103708,590.3
3.22,0.397919,-0.0773444,591.984
3.23,0.406967,-0.0509634,593.665
3.24,0.415661,-0.024604,595.344
3.25,0.423985,0.00169552,597.022
3.26,0.431922,0.0278975,598.697
3.27,0.439457,0.0539648,600.37
3.28,0.446572,0.0798608,602.042
3.29,0.453252,0.10555,603.711
3.3,0.459478,0.130997,605.379
3.31,0.465236,0.156167,607.044
3.32,0.470508,0.181028,608.708
3.33,0.475277,0.205547,610.37
3.34,0.479529,0.229693,612.03
3.35,0.483247,0.253435,613.688
3.36,0.486415,0.276745,615.345
3.37,0.489018,0.299594,617
3.38,0.491043,0.321955,618.653
3.39,0.492473,0.343803,620.304
3.4,0.493297,0.365114,621.954
3.41,0.4935,0.385865,623.602
3.42,0.49307,0.406034,625.248
3.43,0.491996,0.425601,626.893
3.44,0.490266,0.444547,628.537
3.45,0.487872,0.462854,630.179
3.46,0.484802,0.480507,631.819
3.47,0.481049,0.497491,633.459
3.48,0.476607,0.513793,635.097
3.49,0.471467,0.529401,636.733
3.5,0.465626,0.544304,638.369
3.51,0.459079,0.558494,640.003
3.52,0.451823,0.571963,641.636
3.53,0.443856,0.584705,643.268
3.54,0.435178,0.596715,644.899
3.55,0.425789,0.607989,646.529
3.56,0.415692,0.618526,648.158
3.57,0.40489,0.628325,649.786
3.58,0.393388,0.637386,651.414
3.59,0.381191,0.645711,653.04
3.6,0.368307,0.653303,654.666
3.61,0.354746,0.660166,656.291
3.62,0.340516,0.666304,657.915
3.63,0.32563,0.671725,659.539
3.64,0.310101,0.676434,661.162
3.65,0.293943,0.680442,662.784
3.66,0.277173,0.683756,664.406
3.67,0.259807,0.686387,666.028
3.68,0.241865,0.688346,667.649
3.69,0.223365,0.689644,669.27
3.7,0.204331,0.690294,670.89
3.71,0.184784,0.690308,672.51
3.72,0.164749,0.689701,674.13
3.73,0.14425,0.688486,675.749
3.74,0.123316,0.686678,677.369
3.75,0.101972,0.684292,678.988
3.76,0.0802483,0.681344,680.607
3.77,0.0581749,0.677849,682.226
3.78,0.0357828,0.673823,683.845
3.79,0.013104,0.669283,685.463
3.8,-0.00982849,0.664245,687.082
3.81,-0.0329807,0.658726,688.701
3.82,-0.0563179,0.652742,690.319
3.83,-0.0798045,0.646309,691.938
3.84,-0.103404,0.639444,693.557
3.85,-0.127081,0.632164,695.175
3.86,-0.150796,0.624485,696.794
3.87,-0.174513,0.616423,698.413
3.88,-0.198193,0.607994,700.032
3.89,-0.221797,0.599213,701.651
3.9,-0.245287,0.590095,703.27
3.91,-0.268624,0.580656,704.889
3.92,-0.291768,0.570911,706.508
3.93,-0.314681,0.560873,708.127
3.94,-0.337323,0.550556,709.746
3.95,-0.359657,0.539973,711.365
3.96,-0.381642,0.529138,712.984
3.97,-0.403242,0.518063,714.603
3.98,-0.424418,0.50676,716.223
3.99,-0.445134,0.49524,717.842
4,-0.465351,0.483514,719.461
4.01,-0.485035,0.471592,721.08
4.02,-0.504151,0.459485,722.699
4.03,-0.522663,0.447202,724.318
4.04,-0.540538,0.43475,725.937
4.05,-0.557744,0.42214,727.556
4.06,-0.57425,0.409378,729.174
4.07,-0.590024,0.396472,730.792
4.08,-0.605038,0.383428,732.41
4.09,-0.619265,0.370254,734.028
4.1,-0.632676,0.356955,735.645
4.11,-0.645248,0.343536,737.262
4.12,-0.656957,0.330003,738.879
4.13,-0.66778,0.31636,740.495
4.14,-0.677696,0.302612,742.111
4.15,-0.686687,0.288763,743.726
4.16,-0.694736,0.274816,745.341
4.17,-0.701826,0.260776,746.955
4.18,-0.707943,0.246645,748.568
4.19,-0.713076,0.232427,750.181
4.2,-0.717214,0.218125,751.793
4.21,-0.720347,0.203741,753.404
4.22,-0.72247,0.189279,755.014
4.23,-0.723577,0.174741,756.624
4.24,-0.723665,0.16013,758.232
4.25,-0.722733,0.14545,759.84
4.26,-0.72078,0.130702,761.446
4.27,-0.717811,0.11589,763.052
4.28,-0.713827,0.101018,764.656
4.29,-0.708837,0.086088,766.26
4.3,-0.702847,0.0711048,767.862
4.31,-0.695867,0.0560719,769.462
4.32,-0.687909,0.0409937,771.062
4.33,-0.678986,0.0258748,772.66
4.34,-0.669111,0.0107201,774.257
4.35,-0.658303,-0.00446481,775.852
4.36,-0.646579,-0.0196742,777.446
4.37,-0.633959,-0.0349018,779.039
